date,review,reviewer,rating
10-Apr-20,"This movie is great! Joaquin is incredible. Im really glad they decided to proceed with making a darker and more adult Joker film. The Joker is a disturbed character and although the appeal of Batman reaches a wide age range, Im so glad they made a movie for the adults. Between this film and the Deadpool series, rated R comic movies have proven they can be successful and deserve a place amongst all these comic book movies. Not every comic book movie needs to be for children, especially given there are probably more adult comic fans at this point than children. Only things that I didnt like The use of Rock n Roll pt 2 during the infamous staircase scene. Not for any PC reason due to Gary Glitters song being involved, but because I didnt feel like it matched the feel of the movie nor any of the other music played throughout. It felt, noticeable out of place and from a different decade, I thought it was odd. The other thing was the CGI blood, especially during the climactic scene, it just doesnt look right and bothers me when I see it in movies. Too shiny and reflective, doesnt seem to run correctly. Just use actual fake blood, CGI always looks fake and out of place, real props are always better.",Brady H,4.5
09-Apr-20,A simply mesmorising performance.,Cassie W,5
09-Apr-20,"As expected from the small teaser we saw posted by Todd Phillips all that time ago, this movie is a masterpiece. And I am disgusted and disappointed that a movie as stupid and childish as Trolls: World Tour can get a higher percentage as this. Don't expect a big budget and high action superhero film when coming into this, expect a slow and steady character peice of a man going through mental illness. This is a fantastic psychological movie rather than a movie of the superhero genre, I feel if this wasn't DC, it would still be fantastic and popular. Don't criticize it because you were expecting a big budget fuckfest of a superhero movie, this is truly as good as you can get from a modern film these days. The acting from Joaquin Phoenix is some of the best you can see, properly showing the pain in his uncontrollable laughter, and the process of a man slowly going from a man trying to get through life in a terrible situation we call society to a sociopath killer who kills to give people what he believes they deserve is fantastic and beautiful to see as it goes on. I believe this film should and probably will go down as a classic for generations.",Will H,5
09-Apr-20,"A splendidly written and acted film. This is a genuinely intelligent and sophisticated ""superhero"" film.",Greg L,5
08-Apr-20,One of the best movies,Diego N,5
08-Apr-20,It's good. ??? ???? ?,Fedor S,4
08-Apr-20,"It is a film about a boy who lives with his mother, who is disabled. The boy has a type of disorder and his dream is to be a comedian. Marta 3� AR",Enlgish project L,5
08-Apr-20,great dc movie if you loved the The Dark Knight joker Heath Ledger you will love the joker of Joaquin Phoenix,dd e,4
08-Apr-20,Wow. Blew me away. There is surely a message here which works on all levels and at several depths.,Thomas P,4.5
08-Apr-20,If it wasn't for the makeup and names you really wouldn't be able to tell it apart from the typical 'making of killer' films out there. It's a good movie but if you're expecting it to fully live up to the hype - don't get your job on it. Two factors made it an above average film: 1. Joaquin's incredible performance 2. The Murray scene Just try and prevent yourself from becoming the cringy preteen who believes swears they can relate to the joker and you'll be fine.,Maya L,3
07-Apr-20,"Brilliant film, I really love it and continue to watch it. Joaquin Phoenix is fantastic in it, never really paid much attention to him before but he's seriously good in this. And hot too, which is always a good thing. Thought it would be one of those awful superhero type films so was so pleased it wasn't. It was kind of sad though, but then it ended happily for Arthur Fleck when he turned into the hottest Joker ever seen. Hurrah.",Kate W,5
07-Apr-20,"After heath ledger, i thought that was the pinnacle of a joker performance then this came to live. What a way to step into big shoes. Absolutely sensational. Must watch.",Larry A,5
07-Apr-20,it's hillarious! The movie is a million times better than this trailer. must watch :),Salma L,3.5
06-Apr-20,"Social injustice is the prime concept in this movie, it showcases a man's mental health spiral into darkness. Absolutely amazing Joaquin Phoenix/Todd Phillips.",Monster T,5
06-Apr-20,This movie is amazing. Best live up. Best brutal-ness. Best costume (my opinion),johnaven p,5
05-Apr-20,"Featuring a riveting, fully realized, and Oscar-worthy performance by Joaquin Phoenix, Joker would work just as well as an engrossing character study without any of its DC Comics trappings; that it just so happens to be a brilliant Batman-universe movie is icing on the Batfan cake. You will likely leave Joker feeling like I did: unsettled and ready to debate the film for years to come.",Louw B,4
05-Apr-20,Wow that was an experience. Joachim and De Niro both showing what acting is all about.,Michael A,4.5
05-Apr-20,"Great prequel, it's my favorite DC movie over everything and the acting is amazing and I don't just mean Joaquin Phoenix, I mean everyone! And Joaquin Phoenix was the best actor for Joker over himself, Jared Leto, and Jack Nicholson, and Heath Ledger! And he also plays the craziest! If you love prequels and orgin stories then you'll love this movie",Vinny M,4.5
04-Apr-20,It was awesome!! You have to see it to love it!!!!!,Vinayak S,5
04-Apr-20,Very awkward and unsettling. Left a bad taste in my mouth..,Adam L,1.5
03-Apr-20,"Joaquin phoenix kicked the ball out of the ground.....the way he dances, the way he walks, the way he smiles.......what an acting man!!!",Guru P,5
03-Apr-20,"Not sure how the 'critics' manage to be so consistently wrong on rotten tomatoes? This movie is an absolute masterpiece, it is perfectly paced, and the Joker is brilliantly developed through the superb script, filming and of course Phoenix who delivers an incredible performance. This is a film everyone should see it is so well made and the story so well told. My biggest complaint would be the way a young Bruce Wayne is shoehorned into the story where he doesn't really need to be, this also throws the age difference between Joker and Batman into question when they've previously been contemporaries, a bit confusing and didn't add much to the plot.",Arthur N,5
03-Apr-20,"FLAWLESS! Joaquin Phoenix is incredible as The Joker, Well deserved Oscar.",,5
02-Apr-20,This is a must see if for no other reason Joaquin Phoenix's performance. Had he not won an Oscar it would have been a crime. Beyond that amazing performance the fact it didn't consist of 100 minutes of CGI effects and over the top fight scenes makes this a refreshing alternative to the typical comic based superhero movie.,Kurtis R,5
02-Apr-20,Was an amazing film. Topical too.,Aloha S,5
02-Apr-20,"I had high hopes for this film, but like many things coming out of Hollywood these days it seemed overdone, insipid and dross. I can't help but ask myself - where is the story? All I saw was a man having bad days, who eventually became an invented persona of his own envisioning. Joaquin Phoenix's Joker was overplayed and lacked depth which cuts the complexity and dimension that this character deserves. There are some good performances in this film that help bring realism to things, and the cinematography is fantastic, vivid and compares to 20's noir. However, while we learned about the character's mother and an inkling of what his early childhood was like with her, there's no origin story worth your time. I saw more imitation of art than artistic effort here. The music score was cool, good actors like DeNiro and Frances Conroy but it fell short on many, many levels.",kittycat2017,2
02-Apr-20,"far more than a comic, it's real life!",George W,4.5
02-Apr-20,Joaquin Phoenix is truly incredible in this wonderfully dark and twisted film.,Tom H,5
02-Apr-20,This was what I wanted to see of origin of Joker,Ali M,5
01-Apr-20,"�Joker' follows the story of Arthur Fleck, a troubled amateur comedian who is constantly beaten down by society, driving his transformation into the iconic comic book villain, Joker. With a great lead performance, good sense of atmosphere, an original score and pleasing visual style it is unfortunately let down by the script. Presenting underdeveloped themes, cheesy dialogue, cartoonish logic and poorly written characters. What is ultimately a slightly above average film has fueled debate and division among film fans. �Joker' is a good movie. Kind of. It is entertaining on a first viewing but the more you think about the film, the less valuable it becomes, and the more issues start to arise. Joaquin Phoenix is without a doubt the film's greatest strength, he is one of the finest actors working today and while this is not his best performance it is still very good. After winning best actor at the Academy Awards it is likely that this will be the performance that most audience members come to know him for. Phoenix portrays the underlying sinister nature of Arthur as well as evoking pathos for his traumatic experience, making Arthur a character that is simultaneously pitied and feared. In addition to provoking emotion Phoenix brings gravitas to the roll, elevating what could have been comical dialogue in the hands of a lesser actor and giving it a sense of weight and believability. More stylish than most comic book adaptations, the film's design feels grimy and lived in, the period aesthetic bolstering the idea that Gotham city is run down, and the society locked in a negative cycle. The filth that festers and spreads through Arthur's world is captured for the screen with well composed cinematography. The colour, high contrast lighting, and effective use of shallow focus gives the frame a pleasing visual texture. The obvious attention to detail from DOP Lawrence Sher imbues the film with an artistic integrity often lost in a genre saturated by creatively stifled corporate products. The award-winning score from Hildur Gu�nad�ttir also deserves mention, with boldness and originality it is effective and emotive, carrying much of the film's tonal weight, picking up the slack where the writing falls short. The downfall of this film is the writing. The first half of the film is comically mean to the point of absurdity. Burdened by a very slow first act with little plot, the audience are subjected to a repetitive loop of Arthur being beaten down both figuratively and literally. It is effective in presenting Arthur as a victim of his circumstances however the excess of his suffering makes it unbelievable. Accompanied by the lack of narrative progression, it comes across as the writers stopping the story to over explain the idea that society made Arthur the way he is. The film is plagued with obvious writing lacking any complexity or subtly. The movie presents in a very self-serious manner but doesn't follow through with a clever plot or nuanced themes. There is plenty going on, but nothing is sufficiently developed. For instance, the social uprising that is sparked by the Joker is unearned. While there is clearly a class divide in Gotham there is a lack of build-up and no attempt from the screen writers to delve deeper into why the class divide exists, or what it is either side of the divide wants. But perhaps the plot doesn't need to be amazing, if it's a character study then the characterisation and character arc should be strong enough to carry the movie. Right? Writer/director Todd Phillips claims �Joker' is a character study. However, it is difficult to write a compelling character study with a passive protagonist, one whose goals or actions are not the driving force of the plot. Arthur's lack of action comes as a result of his lack of clearly defined goals. Without a strong motivation he ends up reacting to the plot rather than driving it. This makes for a less compelling lead character and limits the opportunity for the writers to provide commentary on Arthur's intentions. So, where does the film sit morally? Arthur is clearly presented as a victim, and with practically all the other characters being exceedingly mean or evil, his violence seems to be justified. Presenting Arthur's violent outburst as his �hero moment' and not providing an in-text counter voice of reason is somewhat morally irresponsible from the script and is further evidence of the lack of complexity. The film is angry at the world but not sure why it's angry or how to fix it. It is important to note that the film is not directly condoning violence, the performance from Phoenix and the score work in tandem to convey that these are the horrific acts of a delusional man. But, the openness of the film's message call into question what it was Todd Phillips was trying to say with this movie. The film becomes a kind of blank slate where audience members can project their own thesis statement about the broad issues the film identifies. For a more believable and morally complex world the film should offer a strong counter to Arthur. Yes, the film is from Arthur's subjective point of view but that shouldn't prevent the film from presenting an opposing view to his. While we as an audience will see the same things Arthur sees, how we see those things can still be different. A believable and complex world is not a necessity for good story telling, but if a film presents itself with the gritty self-importance that �Joker' does then it should follow through with a more mature execution. While ultimately audience takeaway is more important than authorial intent there is still valid criticism in the film's execution of its goals. Why tell this story in a Joker origin movie? Obviously, the cynical reason is because comic book movies are some of the most successful and recognisable IP in Hollywood. The inclusion of comic book references such as the Wayne family feel forced and unnecessary having very little baring on the story and serving little purpose outside of the tenuous connection to the source material. There is nothing wrong with bending the source material to fit the story you want to tell but this film is trying so hard to be a �real' movie that the comic book elements feel out of place and the film would have been stronger as an original concept. There is, however, a strong crutch provided by the source material that the film can sneakily lean on. We as an audience know that the Joker is supposed to be the bad guy and we know that Arthur is eventually going to snap and take that dive into comic book villainy. Phillips takes advantage of this giving the film a palpable, yet cheap, sense of anticipation. With all this in mind �Joker' will for some people be well-crafted and entertaining, for others it will be thematically messy and problematic, and for some the film may be a deeply provocative character study that shines a light on class segregation and mental illness. Any of these reactions are justifiable when discussing the subjective nature of cinema. But, perhaps each of these different interpretations would benefit from a more critical analysis and a consideration of other perspectives, re-assessing the film's intent and success.",Harrison W,3
31-Mar-20,"An absolute 'must see movie' - ideally twice. The layers of story, actors' performance and intensity of livid mental health burden on human's life and soul in this movie was presented astonishingly. As a psychologist it showed me the depth of a movie piece that can dive deep in human's psyche, present how that life can be experienced, and unlock all the underneath not so beautiful and commonly rejected ideas about ourselves that we should realize, embrace and live with. Amazing film.",Mario C,5
31-Mar-20,Amazing movie must see!,Ravenz S,5
31-Mar-20,"Joker is a good movie, but it completely changes the joker's backstory. If you are a comic book fan like I am you will have mixed feelings about this movie.",Brandon B,3.5
31-Mar-20,It was great and had every little bad sence,Ringing C,5
31-Mar-20,"EXCELLENT MOVIE! I absolutely LOVE this entire movie and every aspect of it. I do not consider this movie to have any negatives (however, it does have Mature Language and Violence that I would strongly recommend parents to seriously consider if the potential positive influences/messages in the movie justify allowing even their teenagers from watching). I have been a Batman fan since I was a young child and I've read some great Batman & Joker comic books over the years and I greatly appreciated how this movie was able to create an accurate true to the comics depiction of the Joker and executed the telling of a unique yet perfect Joker origin story. Out of all the Joker origin stories I think this movie's origin explanation is by far the best, perfect and most thoroughly thought out and explained in a realistic potentially possible story. I loved the time period chosen for this film and the Joker's suit at the climax of the movie is spot on to how the Joker's suit looked in the comics made during the same time period as the movie was set in. I have absolutely no complaints with this movie. The time length was perfect and not too long. WATCH IT--with other adults, especially Batman/Joker fans who prefer the more realistic and potentially possible stories & characters that are set in a world that operates in the same way as our actual world in real life. Joker is easily my most favorite movie of the past few years at least and it is definitely in my top 10 movies of all time. Joker is simply AMAZINGLY OUTSTANDING.",Keith H,5
31-Mar-20,"Joker brings more depth to the classic villain generations of DC lovers loved to hate in a very emotional way - a way to shed light on how villains evolve to be what they are - that the world is far from black & white. It gives you sympathy for the Joker, especially since Batman's father was one of the best people who treated him like a pariah. He was never accepted, mainly for that he was poor and abused. When he realized he had nothing to lose, he decided to make his life a ""living comedy"" by killing the people he found awful - but spared the lives of those who were good to him. When he became a cult leader, he finally got the attention he deserved, whether it was ill-gotten or not.",John H,5
30-Mar-20,"This movie is something DC and comic fans have been waiting for, for a while. Between being acted well and visually pleasing, which isn't a common thing in a lot of DC films, you genuinely feel the deviation from all the characters and are able to understand why and how the Joker became the Joker. The only thing I personally felt I wanted more of was chaos, however adding too much would've drawn back from the movies more realistic tone, so I understand why they didn't do that.",Marina C,4.5
30-Mar-20,"Its definitely not for everyone, and it could be hard to watch for some people, but 'Joker' brilliantly tells a story never told before about the harsh reality of our world and the true tribulations behind daily life, accompanied by Phoenix's Oscar-worthy performance.",Karl C,4.5
29-Mar-20,"The Best Movie Of 2019. A Brilliant, Violent And Controversial Origin Story Given To DC's Joker, Combined With An Amazing And Powerful Performance By Joaquin Phoenix. This Is Definitely, One Of The Best DC Movies.",Sarantos F,5
29-Mar-20,"Awesome! You can really feel it. Finally a movie with reality to support it and help the audience dive in full force. Real action that you can FEEL and imagine being real, instead of crazy jumping around cameras and action that is so unbelievable that it's boring and like a cartoon. So many emotions and moments that were savored. Mmmmm...",Duane W,5
28-Mar-20,"A performance for the ages by Joaquin Phoenix, a masterpiece of the seventh art. The movie deepens into the human mind and the consequences of the past and present decisions and actions upon a character. Great visuals and cinematography of a Gotham in the 1980s submerged into urban chaos. You can appreciate the detailed way in which the movie was filmed, the angles, and you can certainly recognize the geniality on every scene. This is a clear example of what movies should be, with the details and essence that have been recently lost in many productions.",LuisFernando G,5
28-Mar-20,"It's so rare these days to get a movie that's not just another bland extended action sequence strung together with a series of increasingly improbable coincidences. Thought-provoking, well-written and certainly entertaining, this is a film you'll want to see more than once.",Robert L,5
28-Mar-20,The good thing about this film is it sticks in your head. The bad thing is that it is totally dry. I wish it were dry in a noir way but instead it does not seep any slickness and is all about woeful self-victimisation.,Nick B,3
28-Mar-20,????????????????????????????????????????,,4.5
28-Mar-20,"Beautiful movie. Everything about it is perfect (the actor, videography, the city etc.). I have depression and severe anxiety and honestly this movie helped me, because it showed me that i'm not alone. I was never really a big fan of the Batman movies, but THIS is something else, it's more realistic which i prefer. So if you don't understand mental illness or you want a superhero movie, i don't recommend watching it. But for me it was perfect. I've never loved a movie so much :)",Kirly Z,5
27-Mar-20,Too good.. Just a masterpice... Sadly not every one gets it and if you watch it one time or just watch the trailer you could just say is not even a DC movie... But these critiques are wrong and is a punch to the face that we need from time to time but again sadly movies are too afraid to do. Joaquin is a great actor and he totally deserved this Oscar for showing us so much emotion and he just made us see how you can be a good man but just one day may change your whole life.. I think the biggest think media doesn't get is that this is not trying to make us violent but to show us how violente is made... There is so many things in this movie that just 1 time seeing it wouldn't make you see all the big picture if you don't know much about the DC universe. 10/10 one of a few movies that can get such a score and i am really disappointed in seeing so bad ratting... Rotten tomato is now just a joke that the mentaly ill loner the Joker may think in his sick head,Edi S,5
27-Mar-20,"7.5/10. Generally speaking a good story as well as a nicely crafted film. The only real issue to me at least is it didn't necessarily feel groundbreaking like most people. I'm also not a DC fan, but the world of Batman tends to arouse my curiosity. This film certainly has its weird (in a good way) moments for sure and it does deserve some praise from its artistic craft and lead performance.",Robert M,4
27-Mar-20,"As a film study, it's superb. Great acting, cinematography, score: BUT I guess I'm pedantic in that I consider a great movie one I'd watch again. Lacking supporting rolls and main character sympathetic but not empathetic. Felt sorry for his circumstances, but no real sympathy for him. Enjoyed some of it but not sure I'd recommend it. Kinda like hearing an opera singer hit high c- applaud the effort and accomplishment, but in the end, who cares?",Dave D,3.5
27-Mar-20,"At first when the film was announced I thought It'd be a total blunder (Todd Phillips, director of Hangover was directing). Then when the budget was announced. I couldn't find any way that the film could be good. And then the teaser was released, I was extremely impressed by it. I was pretty much in the hype. But when the full trailer was released I was kind of disappointed, thought they showed most of the good things in the movie to make the teaser and the trailer to use them as cheap baits. I was fed up by it's hype and stuff, people just saying that it will be a masterpiece and sh*t even before the film was released. But then I saw the film. I won't judge it by it's quality but how it impacted me emotionally. I can really relate to the things shown in the film and that's why I really feel the film, everytime I watch it. The way it depict Arthur's selfish personality, his self petty, how he watches the world from a third person perspective, the subtitle details of the plot, the idea of multiple interpretation, I just love it. People who can relate to it's consepts should love this film I think.",Md. A,5
27-Mar-20,"I didn't like it. I am usually a Joker fan. I guess I am used to, and prefer the more campy (Cesar Romaro, Jack Nicholson) versions of The Joker. This one was too dark. Joaquin was horrible. The movie was trash.",Lisa M,1
27-Mar-20,Awesome movie really makes you understand the joker,Ryan S,5
26-Mar-20,there are no words to describe how much I liked this movie,Renaldo Dias J,5
26-Mar-20,"What happened to the film industry in recent years? They give the oscar to one of the worst Joker because there is none actor that can be compared to him. Joker is a very deep and unpredictable character and all actors who take on this role must sacrifice. But losing 20 pounds or locking yourself in a room, going to a mental institution, ... can't make a perfect Joker. Jokers cannot reach perfection if the actor is not a joker himself ( this guy doesn't even know how to joke btw), they only act as the Joker. I personally think this is one of the worst joker roles. All I see is an actor trying to be a joker, not completely into this character. What a waste of such a highly artistic work. I respect any actor's work but I respect the characters more. That is why Marvel movies are just for high school kids now. All famous actors but no one brings his/her character no at the next level. Just bunches of Superheros fight back and forth and everyone knows good-side is gonna win. Give me back Anton Chigurh , Joker ( Darknight), Hannibal Lecter,...People care too much about how nice how real Joaquin Phoenix in real life. But his Joker is, to be honest, not on that level.",Hong T,3
24-Mar-20,"This director knows what he's doing! Most directors just do boring directing and this director wants to be up and close and I do not like that! I do understand that it is powerful directing and I respect that! Even though I wasn't 100% into the movie, the directing really is something to watch! Disturbing movie, though.",Alex C,5
24-Mar-20,Good looking movie. Masterpiece!,Fayzi O,5
24-Mar-20,The very best movie from a comic character/book. As real as it gets. Phoenix knocks it off the park and the soundtracks are sublime. Must see,Adrian A,5
24-Mar-20,Took too long to turn into Joker,,3
24-Mar-20,"Joker is a unique spin on the movie genre that is the superhero movie. Seeing the descent of Arther Fleck into the Joker was disturbing, suspenseful, exciting, and fun. The direction was perfect and Joaquin Phoenix plays the joker perfectly. This movie was an absolute masterpiece and should be the standard for what a superhero movie should be.",Captain C,5
23-Mar-20,Slow and plodding so MS and I watched it at 1.5 speed.much better. Incredible acting. Worthy rewatch. 3/1/20,,4
23-Mar-20,Great performance from Joaquin. Oscar worthy. Could've used a better plot to relate to Joker franchise.,Stefan W,3
23-Mar-20,"una obra de arte, mostrando un argumento creible",Gonzalo G,5
23-Mar-20,"Joaquin was really good, although, he was better in ""You Were Never Really Here"" (which, if you liked him in ""Joker,"" you absolutely need to see). The rest of the movie was garbage. Completely miscast DeNiro, he is great a many roles but not this one. Zazie had no role here either, it was like someone said, ""Hey we need a female in this movie, don't we?"" (Obviously Martin Scorsese was not involved in this film.) ""Plot"" was... well it didn't have one. The ending was like, ""We ran out of film, let's stop now."" So... it has moments, but it's not a good film, other than the lead performance.",David V,2.5
23-Mar-20,"demented and sick..well acted and produced. But why waste so much talent on such a sad statement on life. Shit happens, yea, but why relish in it? Produce what you become.",mike h,3
22-Mar-20,"Joaquin Phoenix did an amazing performance and from all of the people who represented this insane, maniac or also called ,,Joker"" he is my favorite so far. He took the role very seriously and even had to lose weight to become the Joker , this sacrifice of him made me believe that he's truly giving 100% when it comes to acting . ??",Ivana D,4.5
22-Mar-20,"Califican mal a las peliculas aqui,yo le pongo 10/10, hermosa, los estadounidenses la califican mal porque no tienen la misma situacion que en otros paises",GioBlack A,5
22-Mar-20,"I dont understand how people call this good, its basically promoting police brutality and public riots.",Casey M,1.5
22-Mar-20,Superb acting and ??!?,Brownside R,5
21-Mar-20,"It falls short of the hype, but it is a watchable film. (First and only viewing - 3/4/2020)",Adam R,3
21-Mar-20,"In a time when everything is about special effects, I enjoyed watching a character develop without the distraction of explosions and super powers. I still like Heath Ledger's Joker better but this is a close second",Michael H,5
20-Mar-20,"Brilliant, creepy, dark, moody. This is an experience, not just a movie. A great attempt at the anti-hero concept, and Phoenix makes you really try to understand Fleck's mind, which, of course, you can't because it's insane. The choice of Gotham City in 1981 is an interesting one, the atmosphere is just out of time enough to give it a alien feel (phone booths, no cell phones, graffiti covered trains).",Bill P,5
20-Mar-20,"I think I will never understand why the media decided to hit Joker like this. The film never deserved this! And Todd didn't deserve the critics they got from the media and ""critics."" It makes absolutely no sense. You can compare it to art. Joker is a very brutal art that deserves the user rating by 100%",Lukas L,5
20-Mar-20,"The best film of 2019. It would take me a long time to think of what they did wrong. With a mixture of phenomenal writing, directing, acting, and score Joker is a truly incredible experience from start to end.",Smchidt S,5
20-Mar-20,"It is depressing, depressing like real life when you are a have not, and not a have. It drags you down to your past where everything wasn't perfect and you had much more turbulence in your life. When ups were way ups, and downs were soul crushing.",Heidi C,5
20-Mar-20,"Even if you don't like superhero movies, Joker is an absolute masterpiece in it's own right.",Anne W,5
